FECHA,Transporte,Ruta,Repartidor,Destinatario mcía.,Entrega,Material,Denominación,Cantidad entrega,Un.medida venta,Destinatario mcía..1,Nombre 1,Nombre 2,Calle,CP,Población,ZonaTransp,ZonaTransp.1,caixes_per_palet,volum_palet_l,pes_palet_kg,palets_equiv
05/02/2026,11443257,DR0051,855190,PEREZ PEREZ NEWMAN GREGORIO,827963524,NTL13LT6,NESTEA LIMON 1/3 LATA 4U-PACK 6U.,1,CAJ,9100759429,BAR CAMP DE TIR,BAR CAMP DE TIR,Carretera de Manlleu km 4,8503,GURB,DD13100058,MANLLEU,99.0,784.08,853.914,0.010101010101010102
05/02/2026,11443257,DR0051,855190,PEREZ PEREZ NEWMAN GREGORIO,827963524,VO13,VOLL-DAMM 1/3 RET.,1,CAJ,9100759429,BAR CAMP DE TIR,BAR CAMP DE TIR,Carretera de Manlleu km 4,8503,GURB,DD13100058,MANLLEU,60.0,475.2,1020.0,0.016666666666666666
05/02/2026,11443257,DR0051,855190,PEREZ PEREZ NEWMAN GREGORIO,827963524,CJ13,CAJA DAMM+BOT.1/3RET VACIO EN P.PLAS.A13,1,CAJ,9100759429,BAR CAMP DE TIR,BAR CAMP DE TIR,Carretera de Manlleu km 4,8503,GURB,DD13100058,MANLLEU,,,,0.1
05/02/2026,11443257,DR0051,855190,PEREZ PEREZ NEWMAN GREGORIO,827963525,ED13,ESTRELLA DAMM 1/3 RET. PP,4,CAJ,9100752860,SAZON DE LOS APOLOS,SAZON DE LOS APOLOS,Carretera d la Guixa 10,8500,VIC,DD13100055,ESTADI,60.0,475.2,1020.0,0.06666666666666667
05/02/2026,11443257,DR0051,855190,PEREZ PEREZ NEWMAN GREGORIO,827963525,CJ13,CAJA DAMM+BOT.1/3RET VACIO EN P.PLAS.A13,4,CAJ,9100752860,SAZON DE LOS APOLOS,SAZON DE LOS APOLOS,Carretera d la Guixa 10,8500,VIC,DD13100055,ESTADI,,,,0.1
05/02/2026,11443257,DR0051,855190,PEREZ PEREZ NEWMAN GREGORIO,827963525,ED13,ESTRELLA DAMM 1/3 RET. PP,2,CAJ,9100752860,SAZON DE LOS APOLOS,SAZON DE LOS APOLOS,Carretera d la Guixa 10,8500,VIC,DD13100055,ESTADI,60.0,475.2,1020.0,0.03333333333333333
05/02/2026,11443257,DR0051,855190,PEREZ PEREZ NEWMAN GREGORIO,827963525,CJ13,CAJA DAMM+BOT.1/3RET VACIO EN P.PLAS.A13,2,CAJ,9100752860,SAZON DE LOS APOLOS,SAZON DE LOS APOLOS,Carretera d la Guixa 10,8500,VIC,DD13100055,ESTADI,,,,0.1
05/02/2026,11443257,DR0051,855190,PEREZ PEREZ NEWMAN GREGORIO,827963526,VE11,AGUA VERI 1/1 VIDRIO RET.,3,CAJ,9100746500,RUKU RESTAURANT,RUKU RESTAURANT,Carrer de Sant Sadurní 12,8500,VIC,DD13100069,VIC,40.0,480.0,863.6,0.075
05/02/2026,11443257,DR0051,855190,PEREZ PEREZ NEWMAN GREGORIO,827963526,CJ11V,CAJAS COMPLETAS 1/1 V,3,CAJ,9100746500,RUKU RESTAURANT,RUKU RESTAURANT,Carrer de Sant Sadurní 12,8500,VIC,DD13100069,VIC,,,,0.1
05/02/2026,11443257,DR0051,855190,PEREZ PEREZ NEWMAN GREGORIO,827963526,VE12,AGUA VERI 1/2 VIDRIO RET.,1,CAJ,9100746500,RUKU RESTAURANT,RUKU RESTAURANT,Carrer de Sant Sadurní 12,8500,VIC,DD13100069,VIC,50.0,500.0,1020.3,0.02
05/02/2026,11443257,DR0051,855190,PEREZ PEREZ NEWMAN GREGORIO,827963526,CJ12V,CAJAS COMPLETAS 1/2 V,1,CAJ,9100746500,RUKU RESTAURANT,RUKU RESTAURANT,Carrer de Sant Sadurní 12,8500,VIC,DD13100069,VIC,,,,0.1
05/02/2026,11443257,DR0051,855190,PEREZ PEREZ NEWMAN GREGORIO,827963526,PI12,AGUA PIRINEA 1/2 GAS RET,1,CAJ,9100746500,RUKU RESTAURANT,RUKU RESTAURANT,Carrer de Sant Sadurní 12,8500,VIC,DD13100069,VIC,50.0,500.0,1020.3,0.02
05/02/2026,11443257,DR0051,855190,PEREZ PEREZ NEWMAN GREGORIO,827963526,CJ12V,CAJAS COMPLETAS 1/2 V,1,CAJ,9100746500,RUKU RESTAURANT,RUKU RESTAURANT,Carrer de Sant Sadurní 12,8500,VIC,DD13100069,VIC,,,,0.1
05/02/2026,11443257,DR0051,855190,PEREZ PEREZ NEWMAN GREGORIO,827963527,ED13,ESTRELLA DAMM 1/3 RET. PP,5,CAJ,9100745910,ENTREPA I PA,ENTREPA I PA,Carrer de la Providència 23,8500,VIC,DD13100055,ESTADI,60.0,475.2,1020.0,0.08333333333333333
05/02/2026,11443257,DR0051,855190,PEREZ PEREZ NEWMAN GREGORIO,827963527,CJ13,CAJA DAMM+BOT.1/3RET VACIO EN P.PLAS.A13,5,CAJ,9100745910,ENTREPA I PA,ENTREPA I PA,Carrer de la Providència 23,8500,VIC,DD13100055,ESTADI,,,,0.1
05/02/2026,11443257,DR0051,855190,PEREZ PEREZ NEWMAN GREGORIO,827963527,ED30,ESTRELLA DAMM BARRIL 30,1,BRL,9100745910,ENTREPA I PA,ENTREPA I PA,Carrer de la Providència 23,8500,VIC,DD13100055,ESTADI,6.0,180.0,256.728,0.027777777777777776
05/02/2026,11443257,DR0051,855190,PEREZ PEREZ NEWMAN GREGORIO,827963527,BRL30V,BARRIL INOX 30L. EURONORMA,1,BRL,9100745910,ENTREPA I PA,ENTREPA I PA,Carrer de la Providència 23,8500,VIC,DD13100055,ESTADI,,,,0.1
05/02/2026,11443257,DR0051,855190,PEREZ PEREZ NEWMAN GREGORIO,827963527,TU20,TURIA BARRIL 20L.,1,BRL,9100745910,ENTREPA I PA,ENTREPA I PA,Carrer de la Providència 23,8500,VIC,DD13100055,ESTADI,15.0,300.0,410.88,0.027777777777777776
05/02/2026,11443257,DR0051,855190,PEREZ PEREZ NEWMAN GREGORIO,827963527,BRL20V,BARRIL INOX 20L. TANQUETA A16,1,BRL,9100745910,ENTREPA I PA,ENTREPA I PA,Carrer de la Providència 23,8500,VIC,DD13100055,ESTADI,,,,0.1
05/02/2026,11443257,DR0051,855190,PEREZ PEREZ NEWMAN GREGORIO,827963527,VE12SP,AGUA VERI 1/2 PET CAJA 24U. T.TH,1,CAJ,9100745910,ENTREPA I PA,ENTREPA I PA,Carrer de la Providència 23,8500,VIC,DD13100055,ESTADI,63.0,756.0,812.7,0.015873015873015872
05/02/2026,11443257,DR0051,855190,PEREZ PEREZ NEWMAN GREGORIO,827963527,VE32SP,"AGUA VERI 1,5L PET CAJA 12U.",1,CAJ,9100745910,ENTREPA I PA,ENTREPA I PA,Carrer de la Providència 23,8500,VIC,DD13100055,ESTADI,45.0,810.0,880.2,0.022222222222222223
05/02/2026,11443257,DR0051,855190,PEREZ PEREZ NEWMAN GREGORIO,827963527,NTL13LT6,NESTEA LIMON 1/3 LATA 4U-PACK 6U.,1,CAJ,9100745910,ENTREPA I PA,ENTREPA I PA,Carrer de la Providència 23,8500,VIC,DD13100055,ESTADI,99.0,784.08,853.914,0.010101010101010102
05/02/2026,11443257,DR0051,855190,PEREZ PEREZ NEWMAN GREGORIO,827963527,DL13,DAMM LEMON 1/3 RET,1,CAJ,9100745910,ENTREPA I PA,ENTREPA I PA,Carrer de la Providència 23,8500,VIC,DD13100055,ESTADI,60.0,475.2,1020.0,0.016666666666666666
05/02/2026,11443257,DR0051,855190,PEREZ PEREZ NEWMAN GREGORIO,827963527,CJ13,CAJA DAMM+BOT.1/3RET VACIO EN P.PLAS.A13,1,CAJ,9100745910,ENTREPA I PA,ENTREPA I PA,Carrer de la Providència 23,8500,VIC,DD13100055,ESTADI,,,,0.1
05/02/2026,11443257,DR0051,855190,PEREZ PEREZ NEWMAN GREGORIO,827963528,VE12SP,AGUA VERI 1/2 PET CAJA 24U. T.TH,3,CAJ,9100740503,BAR ÑAM LLODO,BAR ÑAM LLODO,Carrer Enric Prat de la Riba 16,8500,VIC,DD13100069,VIC,63.0,756.0,812.7,0.047619047619047616
05/02/2026,11443257,DR0051,855190,PEREZ PEREZ NEWMAN GREGORIO,827963528,0AM1012,CHOVI MAYONESA CLAS. 5KG,1,UN,9100740503,BAR ÑAM LLODO,BAR ÑAM LLODO,Carrer Enric Prat de la Riba 16,8500,VIC,DD13100069,VIC,,,,0.1
05/02/2026,11443257,DR0051,855190,PEREZ PEREZ NEWMAN GREGORIO,827963529,DL13,DAMM LEMON 1/3 RET,2,CAJ,9100727009,Vacanal Jubany - Hamburgueseria,Vacanal Jubany - Hamburgueseria,Plaça Major 36,8500,VIC,DD13100053,CENTRE,60.0,475.2,1020.0,0.03333333333333333
05/02/2026,11443257,DR0051,855190,PEREZ PEREZ NEWMAN GREGORIO,827963529,CJ13,CAJA DAMM+BOT.1/3RET VACIO EN P.PLAS.A13,2,CAJ,9100727009,Vacanal Jubany - Hamburgueseria,Vacanal Jubany - Hamburgueseria,Plaça Major 36,8500,VIC,DD13100053,CENTRE,,,,0.1
05/02/2026,11443257,DR0051,855190,PEREZ PEREZ NEWMAN GREGORIO,827963529,VE12,AGUA VERI 1/2 VIDRIO RET.,2,CAJ,9100727009,Vacanal Jubany - Hamburgueseria,Vacanal Jubany - Hamburgueseria,Plaça Major 36,8500,VIC,DD13100053,CENTRE,50.0,500.0,1020.3,0.04
05/02/2026,11443257,DR0051,855190,PEREZ PEREZ NEWMAN GREGORIO,827963529,CJ12V,CAJAS COMPLETAS 1/2 V,2,CAJ,9100727009,Vacanal Jubany - Hamburgueseria,Vacanal Jubany - Hamburgueseria,Plaça Major 36,8500,VIC,DD13100053,CENTRE,,,,0.1
05/02/2026,11443257,DR0051,855190,PEREZ PEREZ NEWMAN GREGORIO,827963529,0RF0489,SCHWEPPES TONICA 20CL SR 24U,1,CAJ,9100727009,Vacanal Jubany - Hamburgueseria,Vacanal Jubany - Hamburgueseria,Plaça Major 36,8500,VIC,DD13100053,CENTRE,84.0,475.2,1020.0,0.011904761904761904
05/02/2026,11443257,DR0051,855190,PEREZ PEREZ NEWMAN GREGORIO,827963529,DL13,DAMM LEMON 1/3 RET,1,CAJ,9100727009,Vacanal Jubany - Hamburgueseria,Vacanal Jubany - Hamburgueseria,Plaça Major 36,8500,VIC,DD13100053,CENTRE,60.0,475.2,1020.0,0.016666666666666666
05/02/2026,11443257,DR0051,855190,PEREZ PEREZ NEWMAN GREGORIO,827963529,CJ13,CAJA DAMM+BOT.1/3RET VACIO EN P.PLAS.A13,1,CAJ,9100727009,Vacanal Jubany - Hamburgueseria,Vacanal Jubany - Hamburgueseria,Plaça Major 36,8500,VIC,DD13100053,CENTRE,,,,0.1
05/02/2026,11443257,DR0051,855190,PEREZ PEREZ NEWMAN GREGORIO,827963530,ED13,ESTRELLA DAMM 1/3 RET. PP,4,CAJ,9100700207,CA LA MEI,CA LA MEI,Rambla del Carme 35,8500,VIC,DD13100053,CENTRE,60.0,475.2,1020.0,0.06666666666666667
05/02/2026,11443257,DR0051,855190,PEREZ PEREZ NEWMAN GREGORIO,827963530,CJ13,CAJA DAMM+BOT.1/3RET VACIO EN P.PLAS.A13,4,CAJ,9100700207,CA LA MEI,CA LA MEI,Rambla del Carme 35,8500,VIC,DD13100053,CENTRE,,,,0.1
05/02/2026,11443257,DR0051,855190,PEREZ PEREZ NEWMAN GREGORIO,827963530,TU20,TURIA BARRIL 20L.,1,BRL,9100700207,CA LA MEI,CA LA MEI,Rambla del Carme 35,8500,VIC,DD13100053,CENTRE,15.0,300.0,410.88,0.027777777777777776
05/02/2026,11443257,DR0051,855190,PEREZ PEREZ NEWMAN GREGORIO,827963530,BRL20V,BARRIL INOX 20L. TANQUETA A16,1,BRL,9100700207,CA LA MEI,CA LA MEI,Rambla del Carme 35,8500,VIC,DD13100053,CENTRE,,,,0.1
05/02/2026,11443257,DR0051,855190,PEREZ PEREZ NEWMAN GREGORIO,827963530,VE12SP,AGUA VERI 1/2 PET CAJA 24U. T.TH,2,CAJ,9100700207,CA LA MEI,CA LA MEI,Rambla del Carme 35,8500,VIC,DD13100053,CENTRE,63.0,756.0,812.7,0.031746031746031744
05/02/2026,11443257,DR0051,855190,PEREZ PEREZ NEWMAN GREGORIO,827963530,0VE2628,TORELLO CAVA BRUT NATURE 75CL 1U,1,UN,9100700207,CA LA MEI,CA LA MEI,Rambla del Carme 35,8500,VIC,DD13100053,CENTRE,,,,0.1
05/02/2026,11443257,DR0051,855190,PEREZ PEREZ NEWMAN GREGORIO,827963531,VE12SP,AGUA VERI 1/2 PET CAJA 24U. T.TH,5,CAJ,9100684868,AURIAL PADEL,AURIAL PADEL,Carrer de Figueres 14,8500,VIC,DD13100050,AFORES,63.0,756.0,812.7,0.07936507936507936
05/02/2026,11443257,DR0051,855190,PEREZ PEREZ NEWMAN GREGORIO,827963531,VE32SP,"AGUA VERI 1,5L PET CAJA 12U.",4,CAJ,9100684868,AURIAL PADEL,AURIAL PADEL,Carrer de Figueres 14,8500,VIC,DD13100050,AFORES,45.0,810.0,880.2,0.08888888888888889
05/02/2026,11443257,DR0051,855190,PEREZ PEREZ NEWMAN GREGORIO,827963531,0AG0183,VICHY CATALAN GAS 30CL RET 24U,1,CAJ,9100684868,AURIAL PADEL,AURIAL PADEL,Carrer de Figueres 14,8500,VIC,DD13100050,AFORES,48.0,0.0,0.0,0.020833333333333332
05/02/2026,11443257,DR0051,855190,PEREZ PEREZ NEWMAN GREGORIO,827963531,3ENV0236,C.C. AGUA 1/3 VICHY-FONT D'OR,1,CAJ,9100684868,AURIAL PADEL,AURIAL PADEL,Carrer de Figueres 14,8500,VIC,DD13100050,AFORES,,,,0.1
05/02/2026,11443257,DR0051,855190,PEREZ PEREZ NEWMAN GREGORIO,827963531,0LT0032,CACAOLAT VIDRIO 20CL RET 30U,1,CAJ,9100684868,AURIAL PADEL,AURIAL PADEL,Carrer de Figueres 14,8500,VIC,DD13100050,AFORES,48.0,0.0,0.0,0.020833333333333332
05/02/2026,11443257,DR0051,855190,PEREZ PEREZ NEWMAN GREGORIO,827963531,3ENV0029,C.C. CACAOLAT 30 U.,1,CAJ,9100684868,AURIAL PADEL,AURIAL PADEL,Carrer de Figueres 14,8500,VIC,DD13100050,AFORES,,,,0.1
05/02/2026,11443257,DR0051,855190,PEREZ PEREZ NEWMAN GREGORIO,827963531,0LT0090,LETONA SEMI SIN LACTOSA 1L PET 6U,1,CAJ,9100684868,AURIAL PADEL,AURIAL PADEL,Carrer de Figueres 14,8500,VIC,DD13100050,AFORES,105.0,0.0,0.0,0.009523809523809525
05/02/2026,11443257,DR0051,855190,PEREZ PEREZ NEWMAN GREGORIO,827963531,0LT0033,"LETONA GRAN CREME PET 1,5L PET 6U",2,CAJ,9100684868,AURIAL PADEL,AURIAL PADEL,Carrer de Figueres 14,8500,VIC,DD13100050,AFORES,80.0,0.0,0.0,0.025
05/02/2026,11443257,DR0051,855190,PEREZ PEREZ NEWMAN GREGORIO,827963532,ED15LN,ESTRELLA DAMM 1/5 LN,1,CAJ,9100610240,BAR TAVERNA D'PAS,BAR TAVERNA D'PAS,CALLE SANTIAGO RUSI#OL 1,8500,VIC,DD13100055,ESTADI,70.0,360.0,860.4,0.014285714285714285
05/02/2026,11443257,DR0051,855190,PEREZ PEREZ NEWMAN GREGORIO,827963532,CJ15,CAJA DAMM+BOT.1/5RET VACIO EN P.PLAS.A13,1,CAJ,9100610240,BAR TAVERNA D'PAS,BAR TAVERNA D'PAS,CALLE SANTIAGO RUSI#OL 1,8500,VIC,DD13100055,ESTADI,,,,0.1
05/02/2026,11443257,DR0051,855190,PEREZ PEREZ NEWMAN GREGORIO,827963532,0AM3864,FRIMASOL ACEITE GIRASOL 25L,1,UN,9100610240,BAR TAVERNA D'PAS,BAR TAVERNA D'PAS,CALLE SANTIAGO RUSI#OL 1,8500,VIC,DD13100055,ESTADI,30.0,0.0,0.0,0.005555555555555556
05/02/2026,11443257,DR0051,855190,PEREZ PEREZ NEWMAN GREGORIO,827963532,0AM5393,PROEZA CEBOLLA FRITA A.GIRASOL LATA 3KG,6,UN,9100610240,BAR TAVERNA D'PAS,BAR TAVERNA D'PAS,CALLE SANTIAGO RUSI#OL 1,8500,VIC,DD13100055,ESTADI,100.0,0.0,0.0,0.01
05/02/2026,11443257,DR0051,855190,PEREZ PEREZ NEWMAN GREGORIO,827963532,0LM1682,GC HIGIENICO JUMBO 2C COMPAC ECO 18U,1,CAJ,9100610240,BAR TAVERNA D'PAS,BAR TAVERNA D'PAS,CALLE SANTIAGO RUSI#OL 1,8500,VIC,DD13100055,ESTADI,,,,0.1
05/02/2026,11443257,DR0051,855190,PEREZ PEREZ NEWMAN GREGORIO,827963532,0LM1683,GC ECO SECAMANOS 2C 300X184MM 143M 6U,1,CAJ,9100610240,BAR TAVERNA D'PAS,BAR TAVERNA D'PAS,CALLE SANTIAGO RUSI#OL 1,8500,VIC,DD13100055,ESTADI,,,,0.1
05/02/2026,11443257,DR0051,855190,PEREZ PEREZ NEWMAN GREGORIO,827963532,0AM1616,ROMERO ESPAGUETIS HOSTELERIA 5KG,1,UN,9100610240,BAR TAVERNA D'PAS,BAR TAVERNA D'PAS,CALLE SANTIAGO RUSI#OL 1,8500,VIC,DD13100055,ESTADI,200.0,0.0,0.0,0.0008333333333333334
05/02/2026,11443257,DR0051,855190,PEREZ PEREZ NEWMAN GREGORIO,827963533,0LM2484,COMBO VASO+TAPA NAT 8OZ 250CC 50U,4,PAK,9100579824,"PULIT, S.A","PULIT, S.A",Carretera de Roda 61,8500,VIC,DD13100050,AFORES,,,,0.1
05/02/2026,11443257,DR0051,855190,PEREZ PEREZ NEWMAN GREGORIO,827963533,0LT0034,"LETONA SEMI ESPEC HOSTELERIA PET 1,5L 6U",2,CAJ,9100579824,"PULIT, S.A","PULIT, S.A",Carretera de Roda 61,8500,VIC,DD13100050,AFORES,80.0,0.0,0.0,0.025
05/02/2026,11443257,DR0051,855190,PEREZ PEREZ NEWMAN GREGORIO,827963534,ED13,ESTRELLA DAMM 1/3 RET. PP,2,CAJ,9100564797,CASINO DE VIC,CASINO DE VIC,CALLE JACINT VERDAGUER 5,8500,VIC,DD13100053,CENTRE,60.0,475.2,1020.0,0.03333333333333333
05/02/2026,11443257,DR0051,855190,PEREZ PEREZ NEWMAN GREGORIO,827963534,CJ13,CAJA DAMM+BOT.1/3RET VACIO EN P.PLAS.A13,2,CAJ,9100564797,CASINO DE VIC,CASINO DE VIC,CALLE JACINT VERDAGUER 5,8500,VIC,DD13100053,CENTRE,,,,0.1
05/02/2026,11443257,DR0051,855190,PEREZ PEREZ NEWMAN GREGORIO,827963534,ED15LN,ESTRELLA DAMM 1/5 LN,1,CAJ,9100564797,CASINO DE VIC,CASINO DE VIC,CALLE JACINT VERDAGUER 5,8500,VIC,DD13100053,CENTRE,70.0,360.0,860.4,0.014285714285714285
05/02/2026,11443257,DR0051,855190,PEREZ PEREZ NEWMAN GREGORIO,827963534,CJ15,CAJA DAMM+BOT.1/5RET VACIO EN P.PLAS.A13,1,CAJ,9100564797,CASINO DE VIC,CASINO DE VIC,CALLE JACINT VERDAGUER 5,8500,VIC,DD13100053,CENTRE,,,,0.1
05/02/2026,11443257,DR0051,855190,PEREZ PEREZ NEWMAN GREGORIO,827963534,FDT13,FREE DAMM TOSTADA 1/3 RET. PP,1,CAJ,9100564797,CASINO DE VIC,CASINO DE VIC,CALLE JACINT VERDAGUER 5,8500,VIC,DD13100053,CENTRE,60.0,475.2,1020.0,0.016666666666666666
05/02/2026,11443257,DR0051,855190,PEREZ PEREZ NEWMAN GREGORIO,827963534,CJ13,CAJA DAMM+BOT.1/3RET VACIO EN P.PLAS.A13,1,CAJ,9100564797,CASINO DE VIC,CASINO DE VIC,CALLE JACINT VERDAGUER 5,8500,VIC,DD13100053,CENTRE,,,,0.1
05/02/2026,11443257,DR0051,855190,PEREZ PEREZ NEWMAN GREGORIO,827963534,0AG0183,VICHY CATALAN GAS 30CL RET 24U,1,CAJ,9100564797,CASINO DE VIC,CASINO DE VIC,CALLE JACINT VERDAGUER 5,8500,VIC,DD13100053,CENTRE,48.0,0.0,0.0,0.020833333333333332
05/02/2026,11443257,DR0051,855190,PEREZ PEREZ NEWMAN GREGORIO,827963534,3ENV0236,C.C. AGUA 1/3 VICHY-FONT D'OR,1,CAJ,9100564797,CASINO DE VIC,CASINO DE VIC,CALLE JACINT VERDAGUER 5,8500,VIC,DD13100053,CENTRE,,,,0.1
